Cod SIRUTA;Numele localitatii;Mediu;Cod judet;Numele localitatii superioare
156507;PARU;Rural;TM;COSTEIU
158074;PECIU NOU;Rural;TM;PECIU NOU
157148;PERCOSOVA;Rural;TM;GATAIA
158118;PERIAM;Rural;TM;PERIAM
158127;PESAC;Rural;TM;PERIAM
159302;PETROASA MARE;Rural;TM;VICTOR VLAD DELAMARINA
156428;PETROMAN;Rural;TM;CIACOVA
158378;PETROVASELO;Rural;TM;RECAS
158145;PIETROASA;Rural;TM;PIETROASA
159311;PINI;Rural;TM;VICTOR VLAD DELAMARINA
158190;PISCHIA;Rural;TM;PISCHIA
156017;POGANESTI;Rural;TM;BARNA
158172;POIENI;Rural;TM;PIETROASA
155751;PORDEANU;Rural;TM;BEBA VECHE
156909;POVARGINA;Urban;TM;ORAS FAGET
159188;PUSTINIS;Rural;TM;UIVAR
156794;RACHITA;Rural;TM;DUMBRAVA
158252;RACOVITA;Rural;TM;RACOVITA
155706;RADMANESTI;Rural;TM;BARA
159197;RAUTI;Rural;TM;UIVAR
158323;RECAS;Urban;TM;RECAS
158403;REMETEA MARE;Rural;TM;REMETEA MARE
157727;REMETEA MICA;Rural;TM;MASLOC
157763;REMETEA-LUNCA;Rural;TM;MANASTIUR
158957;ROMANESTI;Rural;TM;TOMESTI
156696;ROVINITA MARE;Rural;TM;DENTA
156703;ROVINITA MICA;Rural;TM;DENTA
157870;RUDICICA;Rural;TM;MOSNITA NOUA
157353;RUDNA;Rural;TM;GIULVAZ
158573;SACALAZ;Rural;TM;SACALAZ
159106;SACENI;Rural;TM;TRAIAN VUIA
156650;SACOSU MARE;Rural;TM;DAROVA
158458;SACOSU TURCESC;Rural;TM;SACOSU TURCESC
158788;SAG;Rural;TM;SAG
157077;SALBAGEL;Rural;TM;GAVOJDIA
158234;SALCIUA NOUA;Rural;TM;PISCHIA
158662;SANANDREI;Rural;TM;SANANDREI
155939;SANDRA;Rural;TM;BILED
157166;SANGEORGE;Rural;TM;GATAIA
159204;SANMARTINU MAGHIAR;Rural;TM;UIVAR
158092;SANMARTINU SARBESC;Rural;TM;PECIU NOU
158715;SANMIHAIU GERMAN;Rural;TM;SANMIHAIU ROMAN
158706;SANMIHAIU ROMAN;Rural;TM;SANMIHAIU ROMAN
155537;SANNICOLAU MARE;Urban;TM;ORAS SANNICOLAU MARE
157237;SANOVITA;Rural;TM;GHIZELA
158742;SANPETRU MARE;Rural;TM;SANPETRU MARE
159240;SANPETRU MIC;Rural;TM;VARIAS
158760;SARAVALE;Rural;TM;SANPETRU MARE
156026;SARAZANI;Rural;TM;BARNA
158305;SARBOVA;Rural;TM;RACOVITA
158537;SATCHINEZ;Rural;TM;SATCHINEZ
157157;SCULIA;Urban;TM;GATAIA
158617;SECAS;Rural;TM;SECAS
158056;SECEANI;Rural;TM;ORTISOARA
157175;SEMLACU MARE;Rural;TM;GATAIA
157184;SEMLACU MIC;Rural;TM;GATAIA
155421;SILAGIU;Urban;TM;ORAS BUZIAS
156142;SINERSIG;Rural;TM;BOLDUR
156099;SINTAR;Rural;TM;BOGDA
157665;SINTESTI;Rural;TM;MARGINA
159062;SIPET;Rural;TM;TORMAC
155653;SOCA;Rural;TM;BANLOC
155715;SPATA;Rural;TM;BARA
157825;STAMORA GERMANA;Rural;TM;MORAVITA
158494;STAMORA ROMANA;Rural;TM;SACOSU TURCESC
158387;STANCIOVA;Rural;TM;RECAS
158813;STIUCA;Rural;TM;STIUCA
159080;SUDRIAS;Rural;TM;TRAIAN VUIA
159115;SURDUCU MIC;Rural;TM;TRAIAN VUIA
159124;SUSANI;Rural;TM;TRAIAN VUIA
159017;SUSTRA;Rural;TM;TOPOLOVATU MARE
155387;TAPIA;Urban;TM;MUNICIPIUL LUGOJ
155582;TARGOVISTE;Rural;TM;BALINT
156918;TEMERESTI;Urban;TM;ORAS FAGET
158868;TEREMIA MARE;Rural;TM;TEREMIA MARE
158886;TEREMIA MICA;Rural;TM;TEREMIA MARE
156204;TES;Rural;TM;BRESTOVAT
155252;TIMISOARA;Urban;TM;MUNICIPIUL TIMISOARA
156516;TIPARI;Rural;TM;COSTEIU
157308;TOAGER;Rural;TM;GIERA
158902;TOMESTI;Rural;TM;TOMESTI
157567;TOMNATIC;Rural;TM;LOVRIN
157772;TOPLA;Rural;TM;MANASTIUR
158975;TOPOLOVATU MARE;Rural;TM;TOPOLOVATU MARE
159026;TOPOLOVATU MIC;Rural;TM;TOPOLOVATU MARE
159044;TORMAC;Rural;TM;TORMAC
159133;TRAIAN VUIA;Rural;TM;TRAIAN VUIA
155948;UIHEI;Rural;TM;BILED
159151;UIVAR;Rural;TM;UIVAR
158500;ULIUC;Rural;TM;SACOSU TURCESC
158519;UNIP;Rural;TM;SACOSU TURCESC
157889;URSENI;Rural;TM;MOSNITA NOUA
158724;UTVIN;Rural;TM;SANMIHAIU ROMAN
156758;VALCANI;Rural;TM;DUDESTII VECHI
156525;VALEA LUNGA ROMANA;Rural;TM;COSTEIU
159222;VARIAS;Rural;TM;VARIAS
159268;VICTOR VLAD DELAMARINA;Rural;TM;VICTOR VLAD DELAMARINA
159320;VISAG;Rural;TM;VICTOR VLAD DELAMARINA
157576;VIZEJDIA;Rural;TM;LOVRIN
158644;VIZMA;Rural;TM;SECAS
159348;VOITEG;Rural;TM;VOITEG
156348;VUCOVA;Rural;TM;CHEVERESU MARE
158840;ZGRIBESTI;Rural;TM;STIUCA
156990;ZOLT;Rural;TM;FARDEA
157674;ZORANI;Rural;TM;MARGINA
154086;ALBENI;Rural;TR;SCURTU MARE
154870;ALBESTI;Rural;TR;VEDEA
151807;ALEXANDRIA;Urban;TR;MUNICIPIUL ALEXANDRIA
152378;ANTONESTI;Rural;TR;CALINESTI
